indent,taxonID,rank,A id,A name,B id,B name,relation,other id,other name,note,reason,changed_props,unchanged
————————————,10770,species,442619,A.Pseudomys shortridgei,442619,B.Pseudomys shortridgei,=,,,,canonicalName,,tip
———————————,10771,genus,209870,A.Heimyscus,,,,,,,,,
———————————,10773,genus,209872,A.Zelotomys,,,,,,,,,
———————————,10775,genus,234627,A.Batomys,234627,B.Batomys,=,,,,canonicalName,number_of_children,
————————————,10776,species,234628,A.Batomys granti,234628,B.Batomys granti,=,,,,canonicalName,,tip
————————————,10777,species,349693,A.Batomys salomonseni,349693,B.Batomys salomonseni,=,,,,canonicalName,,tip
————————————,10778,species,,,2219196,B.Batomys hamiguitan,,,,,,,
————————————,10779,species,,,2219197,B.Batomys uragon,,,,,,,
———————————,10780,genus,237994,A.Archboldomys,237994,B.Archboldomys,=,,,,canonicalName,,
————————————,10781,species,237995,A.Archboldomys luzonensis,237995,B.Archboldomys luzonensis,=,,,,canonicalName,,tip
————————————,10782,species,1217594,A.Archboldomys sp. SAJ-2012,1217594,B.Archboldomys maximus,=,,,,ncbi_id,canonicalName,tip
———————————,10783,genus,237997,A.Chrotomys,237997,B.Chrotomys,=,,,,canonicalName,,
————————————,10784,species,237998,A.Chrotomys gonzalesi,237998,B.Chrotomys gonzalesi,=,,,,canonicalName,,tip
————————————,10785,species,290248,A.Chrotomys silaceus,290248,B.Chrotomys silaceus,=,,,,canonicalName,,tip
————————————,10786,species,290249,A.Chrotomys sibuyanensis,290249,B.Chrotomys sibuyanensis,=,,,,canonicalName,,tip
————————————,10787,species,290250,A.Chrotomys whiteheadi,290250,B.Chrotomys whiteheadi,=,,,,canonicalName,,tip
————————————,10788,species,1217595,A.Chrotomys mindorensis,1217595,B.Chrotomys mindorensis,=,,,,scientificName,,tip
———————————,10789,genus,237999,A.Rhynchomys,237999,B.Rhynchomys,=,,,,canonicalName,,subtree=
———————————,10794,genus,238001,A.Apomys,238001,B.Apomys,=,,,,canonicalName,number_of_children,
————————————,10795,species,238002,A.Apomys datae,238002,B.Apomys datae,=,,,,canonicalName,,tip
————————————,10796,species,238003,A.Apomys gracilirostris,238003,B.Apomys gracilirostris,=,,,,scientificName,,tip
————————————,10797,species,238004,A.Apomys hylocoetes,238004,B.Apomys hylocoetes,=,,,,canonicalName,,tip
————————————,10798,species,238005,A.Apomys insignis,238005,B.Apomys insignis,=,,,,canonicalName,,tip
————————————,10799,species,238006,A.Apomys microdon,238006,B.Apomys microdon,=,,,,canonicalName,,tip
————————————,10800,species,238007,A.Apomys musculus,238007,B.Apomys musculus,=,,,,canonicalName,,tip
